loss_train,accuracy_train,precision_train,recall_train,f1_train,TP_train,TN_train,FP_train,FN_train,loss_val,accuracy_val,precision_val,recall_val,f1_val,TP_val,TN_val,FP_val,FN_val,iteration
0.9785720501326832,0.5068517327308655,0.5020076632499695,0.4997579753398895,0.5008803009986877,136276.0,142865.0,135186.0,136408.0,0.7095175747027342,0.5256323218345642,0.5203763246536255,0.5080100297927856,0.5141188502311707,59236.0,64829.0,54597.0,57368.0,0
0.8334441809758913,0.512224555015564,0.5074677467346191,0.5045180320739746,0.505988597869873,137574.0,144526.0,133525.0,135110.0,0.7057281716149808,0.5246366858482361,0.5506953001022339,0.20513875782489777,0.2989252805709839,23920.0,99910.0,19516.0,92684.0,1
0.7636523508851977,0.5150517225265503,0.5103904604911804,0.5049287676811218,0.5076448917388916,137686.0,145971.0,132080.0,134998.0,0.6938401359681057,0.5276617407798767,0.5458733439445496,0.2611488401889801,0.35328444838523865,30451.0,94093.0,25333.0,86153.0,2
0.7302177417055017,0.5185815095901489,0.5140854120254517,0.5052698254585266,0.5096395015716553,137779.0,147822.0,130229.0,134905.0,0.6895288507150391,0.5361098051071167,0.5289694666862488,0.5568505525588989,0.54255211353302,64931.0,61607.0,57819.0,51673.0,3
0.7151610026291635,0.520909309387207,0.5165503621101379,0.5054458379745483,0.5109377503395081,137827.0,149056.0,128995.0,134857.0,0.68899720976253,0.5368512272834778,0.5416014790534973,0.4067956507205963,0.46461784839630127,47434.0,79279.0,40147.0,69170.0,4
0.7058772101672158,0.5261895656585693,0.522096574306488,0.5086327195167542,0.5152767300605774,138696.0,151095.0,126956.0,133988.0,0.6963249070348515,0.5229801535606384,0.5777140855789185,0.12792013585567474,0.2094605416059494,14916.0,108523.0,10903.0,101688.0,5
0.7002657541115298,0.5295596122741699,0.5257009267807007,0.5099309086799622,0.5176957845687866,139050.0,152597.0,125454.0,133634.0,0.6880171529005197,0.5404355525970459,0.534554123878479,0.5395097732543945,0.5370205044746399,62909.0,64650.0,54776.0,53695.0,6
0.6964658617171362,0.5343513488769531,0.5307184457778931,0.514313280582428,0.5223870277404785,140245.0,154041.0,124010.0,132439.0,0.6884106766580096,0.5386772751808167,0.5560803413391113,0.32816198468208313,0.4127475917339325,38265.0,88879.0,30547.0,78339.0,7
0.6938174155096837,0.5374472141265869,0.534024715423584,0.5162972807884216,0.5250113606452942,140786.0,155205.0,122846.0,131898.0,0.6869853942322437,0.5438122153282166,0.5453060269355774,0.460884690284729,0.49955376982688904,53741.0,74615.0,44811.0,62863.0,8
0.6918645873466265,0.5400201678276062,0.5367650389671326,0.5182005763053894,0.5273194909095764,141305.0,156103.0,121948.0,131379.0,0.6967044325969444,0.5230055451393127,0.5101196765899658,0.8687180280685425,0.6427879929542542,101296.0,22149.0,97277.0,15308.0,9
0.6902440849556785,0.5425349473953247,0.5394463539123535,0.5201185345649719,0.5296062231063843,141828.0,156965.0,121086.0,130856.0,0.6937643161134357,0.5264118909835815,0.5126031637191772,0.8411546945571899,0.637009859085083,98082.0,26167.0,93259.0,18522.0,10
