loss_train,accuracy_train,precision_train,recall_train,f1_train,TP_train,TN_train,FP_train,FN_train,loss_val,accuracy_val,precision_val,recall_val,f1_val,TP_val,TN_val,FP_val,FN_val,iteration
1.2578590549517843,0.5038666725158691,0.4985485374927521,0.4973517954349518,0.4979494512081146,135503.0,141994.0,136292.0,136946.0,0.7089303725781857,0.5188450813293457,0.520004391670227,0.3639794886112213,0.4282225966453552,42527.0,79936.0,39255.0,74312.0,0
0.9133274762718365,0.5073873996734619,0.5021224021911621,0.4992971122264862,0.5007057189941406,136033.0,143403.0,134883.0,136416.0,0.6996445251249567,0.518637478351593,0.546687126159668,0.16150429844856262,0.24934592843055725,18870.0,103544.0,15647.0,97969.0,1
0.7730765953284057,0.5098513960838318,0.5046652555465698,0.4977004826068878,0.5011587142944336,135598.0,145195.0,133091.0,136851.0,0.6900266538109562,0.531262993812561,0.5293477773666382,0.4787956178188324,0.5028042793273926,55942.0,69452.0,49739.0,60897.0,2
0.7264249408068784,0.5130689144134521,0.508030891418457,0.49676820635795593,0.5023364424705505,135344.0,147221.0,131065.0,137105.0,0.6899101315815206,0.5329195261001587,0.5272529125213623,0.5459307432174683,0.5364292860031128,63786.0,61999.0,57192.0,53053.0,3
0.7088300116437909,0.5179950594902039,0.5132091045379639,0.49854835867881775,0.5057724714279175,135829.0,149449.0,128837.0,136620.0,0.6895792187353678,0.5321272611618042,0.5408729314804077,0.36282405257225037,0.43430861830711365,42392.0,83206.0,35985.0,74447.0,4
0.7019701353246917,0.5205262303352356,0.5159792900085449,0.49695172905921936,0.5062867999076843,135394.0,151278.0,127008.0,137055.0,0.6890683174587855,0.5340507626533508,0.5380435585975647,0.4152466356754303,0.4687361419200897,48517.0,77535.0,41656.0,68322.0,5
0.6983397721037526,0.5239670872688293,0.51966792345047,0.49852633476257324,0.5088776350021362,135823.0,152744.0,125542.0,136626.0,0.6927264596831771,0.5230606198310852,0.5117143392562866,0.7976531982421875,0.6234622001647949,93197.0,30261.0,88930.0,23642.0,6
0.6965308487924524,0.5271954536437988,0.523119330406189,0.5007506012916565,0.5116905570030212,136429.0,153916.0,124370.0,136020.0,0.6889817783929825,0.5355209112167358,0.552453875541687,0.3248744010925293,0.4091470241546631,37958.0,88441.0,30750.0,78881.0,7
0.6950049933321643,0.5298501253128052,0.525901198387146,0.5038227438926697,0.5146253108978271,137266.0,154541.0,123745.0,135183.0,0.6875644076846795,0.5398551225662231,0.5403666496276855,0.47152063250541687,0.503601610660553,55092.0,72330.0,46861.0,61747.0,8
0.693905416257348,0.5321506857872009,0.5283690690994263,0.505459725856781,0.5166605710983276,137712.0,155362.0,122924.0,134737.0,0.6946639966182889,0.5198618769645691,0.508597731590271,0.8890524506568909,0.6470432281494141,103876.0,18827.0,100364.0,12963.0,9
0.693139613617266,0.5346418619155884,0.5309519171714783,0.5087374448776245,0.5196073651313782,138605.0,155841.0,122445.0,133844.0,0.6882767624831405,0.5367410778999329,0.5577771067619324,0.30968254804611206,0.39825212955474854,36183.0,90504.0,28687.0,80656.0,10
