loss_train,accuracy_train,precision_train,recall_train,f1_train,TP_train,TN_train,FP_train,FN_train,loss_val,accuracy_val,precision_val,recall_val,f1_val,TP_val,TN_val,FP_val,FN_val,iteration
0.9686944468704936,0.5070024728775024,0.5017294883728027,0.49938520789146423,0.500554621219635,136057.0,143167.0,135119.0,136392.0,0.7190933185260497,0.5191966891288757,0.5294665098190308,0.2579789161682129,0.3469223082065582,30142.0,92404.0,26787.0,86697.0,0
0.8192128025776662,0.5125477910041809,0.5073883533477783,0.5031143426895142,0.5052422881126404,137073.0,145205.0,133081.0,135376.0,0.6993535715190302,0.5247341394424438,0.5479807257652283,0.227852001786232,0.3218696713447571,26622.0,97231.0,21960.0,90217.0,1
0.7541092870497289,0.5153785347938538,0.5103406310081482,0.5027693510055542,0.5065267086029053,136979.0,146858.0,131428.0,135470.0,0.6914580831566902,0.5327882170677185,0.5227558016777039,0.6451955437660217,0.5775578022003174,75384.0,50370.0,68821.0,41455.0,2
0.7246472959549949,0.5191952586174011,0.5143446326255798,0.5035951733589172,0.5089130997657776,137204.0,148735.0,129551.0,135245.0,0.6893833571897949,0.5352751612663269,0.5330181121826172,0.4939446449279785,0.512738049030304,57712.0,68629.0,50562.0,59127.0,3
0.7107725603495603,0.5234441161155701,0.5187877416610718,0.5064030289649963,0.5125205516815186,137969.0,150310.0,127976.0,134480.0,0.6884543278730153,0.5373130440711975,0.5346469879150391,0.5039241909980774,0.518831193447113,58878.0,67944.0,51247.0,57961.0,4
0.7029988681090262,0.527807354927063,0.5234218835830688,0.5083886981010437,0.5157958269119263,138510.0,152172.0,126114.0,133939.0,0.688406809529465,0.5376054048538208,0.5460196137428284,0.3909653425216675,0.45566314458847046,45680.0,81211.0,37980.0,71159.0,5
0.6973681608726907,0.5332056283950806,0.5290730595588684,0.5132814049720764,0.5210576057434082,139843.0,153812.0,124474.0,132606.0,0.6877342817111929,0.5408507585525513,0.5345630049705505,0.5603351593017578,0.5471457242965698,65469.0,62188.0,57003.0,51370.0,6
0.6937636446929876,0.5382497906684875,0.5345506072044373,0.5152560472488403,0.5247260928153992,140381.0,156052.0,122234.0,132068.0,0.6868423310749633,0.5439308285713196,0.5464325547218323,0.46297040581703186,0.5012509822845459,54093.0,74291.0,44900.0,62746.0,7
0.6911373831805293,0.5430760979652405,0.5395609140396118,0.5207470059394836,0.5299869775772095,141877.0,157214.0,121072.0,130572.0,0.6863608020157934,0.5450493693351746,0.5373939275741577,0.5816037654876709,0.5586255192756653,67954.0,60694.0,58497.0,48885.0,8
0.6886155430836196,0.5467983484268188,0.5434910655021667,0.5241531729698181,0.5336470007896423,142805.0,158336.0,119950.0,129644.0,0.6898920766454639,0.5366309285163879,0.5220531225204468,0.7567421793937683,0.6178621649742126,88417.0,38244.0,80947.0,28422.0,9
0.6869055063397432,0.5509982109069824,0.5478628277778625,0.52869713306427,0.5381093621253967,144043.0,159411.0,118875.0,128406.0,0.6912455203780349,0.5359445810317993,0.5787160992622375,0.22992323338985443,0.3290967047214508,26864.0,99635.0,19556.0,89975.0,10
